John Stuart Mill, 21, ['John Austin (legal philosopher)', 'Samuel Bailey', 'Jeremy Bentham', 'Matthew Piers Watt Boulton', 'F. H. Bradley', 'Thomas Carlyle', 'George Eliot', 'T. H. Green', 'Sir William Hamilton, 9th Baronet', 'Auberon Herbert', 'William Stanley Jevons', 'Constance Jones', 'George Henry Lewes', 'Harriet Martineau', 'James McCosh', 'Harriet Taylor Mill', 'James Mill', 'John Ruskin', 'F. C. S. Schiller', 'Henry Sidgwick', 'Herbert Spencer']
Herbert Spencer, 10, ['Jeremy Bentham', 'Thomas Carlyle', 'William Kingdon Clifford', 'Ebenezer Cooke (art education reformer)', 'Augustus De Morgan', 'George Eliot', 'T. H. Green', 'Sir William Hamilton, 9th Baronet', 'Auberon Herbert', 'Constance Jones']
Jeremy Bentham, 8, ['John Austin (legal philosopher)', 'Samuel Bailey', 'John Hoppus', 'Harriet Martineau', 'Harriet Taylor Mill', 'James Mill', 'Joseph Priestley', 'Herbert Spencer']
Charles Darwin, 6, ['Thomas Carlyle', 'Harriet Martineau', 'Aubrey Moore', 'John Ruskin', 'Herbert Spencer', 'James Hutchison Stirling']
David Ricardo, 6, ['Samuel Bailey', 'Jeremy Bentham', 'Harriet Martineau', 'James Mill', 'John Ruskin', 'Herbert Spencer']
Bertrand Russell, 6, ['Samuel Alexander', 'F. H. Bradley', 'G. E. Moore', 'F. C. S. Schiller', 'Henry Sidgwick', 'Herbert Spencer']
William Ewart Gladstone, 6, ['Jeremy Bentham', 'T. H. Green', 'Auberon Herbert', 'James Allanson Picton', 'John Ruskin', 'Herbert Spencer']
Sir William Hamilton, 9th Baronet, 6, ['George Boole', 'Matthew Piers Watt Boulton', 'Augustus De Morgan', 'James Frederick Ferrier', 'George Jardine', 'James McCosh']
George Eliot, 5, ['Thomas Carlyle', 'William Kingdon Clifford', 'George Henry Lewes', 'Harriet Martineau', 'Herbert Spencer']
Karl Marx, 5, ['Thomas Carlyle', 'William Kingdon Clifford', 'George Eliot', 'John Ruskin', 'Herbert Spencer']
James Mill, 5, ['John Austin (legal philosopher)', 'Jeremy Bentham', 'T. H. Green', 'John Hoppus', 'Harriet Martineau']
Giuseppe Mazzini, 5, ['Jeremy Bentham', 'T. H. Green', 'Auberon Herbert', 'James Mill', 'Herbert Spencer']
Theodor Mommsen, 5, ['Jeremy Bentham', 'T. H. Green', 'Auberon Herbert', 'James Mill', 'Herbert Spencer']
William Wordsworth, 5, ['George Eliot', 'Harriet Martineau', 'Joseph Priestley', 'John Ruskin', 'Walking Stewart']
William Stanley Jevons, 5, ['George Boole', 'Augustus De Morgan', 'Sir William Hamilton, 9th Baronet', 'Constance Jones', 'Henry Sidgwick']
Samuel Taylor Coleridge, 4, ['Thomas Carlyle', 'Harriet Martineau', 'Joseph Priestley', 'Herbert Spencer']
Charles Dickens, 4, ['Thomas Carlyle', 'George Eliot', 'George Henry Lewes', 'Harriet Martineau']
Ralph Waldo Emerson, 4, ['Thomas Carlyle', 'George Eliot', 'Auberon Herbert', 'Herbert Spencer']
Thomas Brown (philosopher), 4, ['Sir William Hamilton, 9th Baronet', 'James Mill', 'Lady Mary Shepherd', 'James Hutchison Stirling']
F. H. Bradley, 4, ['Samuel Alexander', 'T. H. Green', 'G. E. Moore', 'F. C. S. Schiller']
Frederick Denison Maurice, 4, ['Mary Everest Boole', 'Thomas Carlyle', 'Ebenezer Cooke (art education reformer)', 'John Ruskin']
John Bright, 4, ['Jeremy Bentham', 'Thomas Carlyle', 'Auberon Herbert', 'Herbert Spencer']
Matthew Arnold, 4, ['Jeremy Bentham', 'Thomas Carlyle', 'Auberon Herbert', 'Herbert Spencer']
James Martineau, 4, ['Augustus De Morgan', 'John Hoppus', 'Constance Jones', 'Harriet Martineau']
Dugald Stewart, 4, ['Archibald Alison (author)', 'Sir William Hamilton, 9th Baronet', 'John Hoppus', 'James Mill']
Hermann von Helmholtz, 3, ['William Stanley Jevons', 'Edmund Montgomery', 'Herbert Spencer']
William James, 3, ['William Kingdon Clifford', 'F. C. S. Schiller', 'Herbert Spencer']
William Rowan Hamilton, 3, ['William Kingdon Clifford', 'Augustus De Morgan', 'Sir William Hamilton, 9th Baronet']
John Ruskin, 3, ['Thomas Carlyle', 'Ebenezer Cooke (art education reformer)', 'George Eliot']
Ernst Cassirer, 3, ['Thomas Carlyle', 'Auberon Herbert', 'Herbert Spencer']
Leonard Hobhouse, 3, ['T. H. Green', 'Auberon Herbert', 'Herbert Spencer']
David Lloyd George, 3, ['T. H. Green', 'Auberon Herbert', 'Herbert Spencer']
Immanuel Kant, 3, ['Sir William Hamilton, 9th Baronet', 'John Hoppus', 'Joseph Priestley']
Thomas Reid, 3, ['Sir William Hamilton, 9th Baronet', 'James Mill', 'Lady Mary Shepherd']
R. G. Collingwood, 3, ['Samuel Alexander', 'Auberon Herbert', 'Herbert Spencer']
George Boole, 3, ['Mary Everest Boole', 'Augustus De Morgan', 'William Stanley Jevons']
Giuseppe Garibaldi, 3, ['Jeremy Bentham', 'T. H. Green', 'James Mill']
Rudolf Virchow, 3, ['Jeremy Bentham', 'T. H. Green', 'James Mill']
Thaddeus Stevens, 3, ['Jeremy Bentham', 'T. H. Green', 'James Mill']
Thomas Southwood Smith, 3, ['Jeremy Bentham', 'John Hoppus', 'George Henry Lewes']
Charles James Fox, 3, ['Jeremy Bentham', 'James Mill', 'Joseph Priestley']
James Madison, 3, ['Jeremy Bentham', 'Harriet Martineau', 'Herbert Spencer']
Thomas Babington Macaulay, 3, ['Jeremy Bentham', 'Auberon Herbert', 'Herbert Spencer']
Richard Cobden, 3, ['Jeremy Bentham', 'Auberon Herbert', 'Herbert Spencer']
John Wilson (Scottish writer), 3, ['James Frederick Ferrier', 'Sir William Hamilton, 9th Baronet', 'George Jardine']
Georg Wilhelm Friedrich Hegel, 3, ['Henry Calderwood', 'George Henry Lewes', 'James Hutchison Stirling']
Thomas Carlyle, 3, ['George Henry Lewes', 'Harriet Martineau', 'John Ruskin']
Auguste Comte, 3, ['George Henry Lewes', 'Harriet Martineau', 'Herbert Spencer']
Harriet Martineau, 3, ['George Eliot', 'Auberon Herbert', 'Herbert Spencer']
Charles Babbage, 3, ['George Boole', 'Matthew Piers Watt Boulton', 'Augustus De Morgan']
George Everest, 3, ['George Boole', 'Mary Everest Boole', 'Augustus De Morgan']
Recent changes in pages linked from this page [k], 3, ['George Boole', 'James Mylne', 'F. C. S. Schiller']
Charles Sanders Peirce, 3, ['George Boole', 'Augustus De Morgan', 'F. C. S. Schiller']
James Ward (psychologist), 3, ['F. H. Bradley', 'Constance Jones', 'G. E. Moore']
Alexander Bain (philosopher), 3, ['Ebenezer Cooke (art education reformer)', 'Augustus De Morgan', 'James Mill']
Henry Sidgwick, 3, ['Constance Jones', 'G. E. Moore', 'Herbert Spencer']
William Whewell, 3, ['Augustus De Morgan', 'William Stanley Jevons', 'Henry Sidgwick']
Alfred Marshall, 2, ['William Stanley Jevons', 'Henry Sidgwick']
Oscar Wilde, 2, ['Thomas Carlyle', 'John Ruskin']
Arthur Hugh Clough, 2, ['Thomas Carlyle', 'John Ruskin']
William Morris, 2, ['Thomas Carlyle', 'John Ruskin']
Walter Scott, 2, ['Thomas Carlyle', 'John Ruskin']
Frederic Harrison, 2, ['Thomas Carlyle', 'John Ruskin']
James Anthony Froude, 2, ['Thomas Carlyle', 'John Ruskin']
John Everett Millais, 2, ['Thomas Carlyle', 'John Ruskin']
James McNeill Whistler, 2, ['Thomas Carlyle', 'John Ruskin']
Elizabeth Gaskell, 2, ['Thomas Carlyle', 'John Ruskin']
Johann Gottlieb Fichte, 2, ['Thomas Carlyle', 'John Hoppus']
Friedrich Wilhelm Joseph Schelling, 2, ['Thomas Carlyle', 'John Hoppus']
John Tyndall, 2, ['Thomas Carlyle', 'Herbert Spencer']
Thomas Henry Huxley, 2, ['Thomas Carlyle', 'Herbert Spencer']
Jane Welsh Carlyle, 2, ['Thomas Carlyle', 'Harriet Martineau']
Margaret Fuller, 2, ['Thomas Carlyle', 'George Henry Lewes']
Johann Wolfgang von Goethe, 2, ['Thomas Carlyle', 'George Henry Lewes']
Friedrich Nietzsche, 2, ['Thomas Carlyle', 'George Eliot']
Samuel Laurence, 2, ['Thomas Carlyle', 'George Eliot']
Henry George, 2, ['T. H. Green', 'Herbert Spencer']
Hastings Rashdall, 2, ['T. H. Green', 'Henry Sidgwick']
T. H. Green, 2, ['Samuel Alexander', 'James Mill']
John Anderson (philosopher), 2, ['Samuel Alexander', 'Henry Jones (philosopher)']
Henry Longueville Mansel, 2, ['Matthew Piers Watt Boulton', 'Sir William Hamilton, 9th Baronet']
George Grote, 2, ['Matthew Piers Watt Boulton', 'John Hoppus']
George Peacock, 2, ['Matthew Piers Watt Boulton', 'Augustus De Morgan']
James Hinton (surgeon), 2, ['Mary Everest Boole', 'Caroline Haddon']
Sarah Austin (translator), 2, ['John Austin (legal philosopher)', 'Harriet Martineau']
Joseph Priestley, 2, ['Jeremy Bentham', 'Walking Stewart']
William Godwin, 2, ['Jeremy Bentham', 'Walking Stewart']
Kant, 2, ['Jeremy Bentham', 'Thomas Carlyle']
William Pitt the Younger, 2, ['Jeremy Bentham', 'Joseph Priestley']
William Petty, 2nd Earl of Shelburne, 2, ['Jeremy Bentham', 'Joseph Priestley']
Henry Brougham, 1st Baron Brougham and Vaux, 2, ['Jeremy Bentham', 'John Hoppus']
Mary Wollstonecraft, 2, ['Jeremy Bentham', 'James Mill']
Francisco de Miranda, 2, ['Jeremy Bentham', 'James Mill']
Louis Antoine de Saint-Just, 2, ['Jeremy Bentham', 'James Mill']
John Cartwright (political reformer), 2, ['Jeremy Bentham', 'James Mill']
Simón Bolívar, 2, ['Jeremy Bentham', 'James Mill']
Maximilien Robespierre, 2, ['Jeremy Bentham', 'James Mill']
Jacques Roux, 2, ['Jeremy Bentham', 'James Mill']
Jacques Hébert, 2, ['Jeremy Bentham', 'James Mill']
Claude Adrien Helvétius, 2, ['Jeremy Bentham', 'George Jardine']
Robert Owen, 2, ['Jeremy Bentham', 'George Eliot']
George Richmond (painter), 2, ['Harriet Martineau', 'John Ruskin']
Charlotte Brontë, 2, ['Harriet Martineau', 'John Ruskin']
William Johnson Fox, 2, ['Harriet Martineau', 'Harriet Taylor Mill']
Octavia Hill, 2, ['George Henry Lewes', 'John Ruskin']
George Henry Lewes, 2, ['George Eliot', 'Herbert Spencer']
Thomas Hardy, 2, ['George Eliot', 'Herbert Spencer']
John Chapman (publisher), 2, ['George Eliot', 'Herbert Spencer']
Queen Victoria, 2, ['George Eliot', 'Harriet Martineau']
John Morley, 2, ['George Eliot', 'George Henry Lewes']
Thornton Leigh Hunt, 2, ['George Eliot', 'George Henry Lewes']
Augustus De Morgan, 2, ['George Boole', 'William Stanley Jevons']
Lucy Everest Boole, 2, ['George Boole', 'Mary Everest Boole']
Ethel Lilian Voynich, 2, ['George Boole', 'Mary Everest Boole']
Charles Howard Hinton, 2, ['George Boole', 'Mary Everest Boole']
Alicia Boole Stott, 2, ['George Boole', 'Mary Everest Boole']
Isaac Todhunter, 2, ['George Boole', 'Augustus De Morgan']
Ernst Schröder (mathematician), 2, ['George Boole', 'Augustus De Morgan']
Ludwig Wittgenstein, 2, ['G. E. Moore', 'Henry Sidgwick']
T. S. Eliot, 2, ['F. H. Bradley', 'John Ruskin']
G.E. Moore, 2, ['F. H. Bradley', 'Herbert Spencer']
Hermann Lotze, 2, ['F. H. Bradley', 'Constance Jones']
Alfred North Whitehead, 2, ['F. H. Bradley', 'Augustus De Morgan']
Thomas Hill Green, 2, ['Constance Jones', 'Aubrey Moore']
Alexis de Tocqueville, 2, ['Auberon Herbert', 'Herbert Spencer']
Benito Juárez, 2, ['Auberon Herbert', 'Herbert Spencer']
Domingo Faustino Sarmiento, 2, ['Auberon Herbert', 'Herbert Spencer']
Luigi Einaudi, 2, ['Auberon Herbert', 'Herbert Spencer']
Ludwig von Mises, 2, ['Auberon Herbert', 'Herbert Spencer']
Alphonse de Lamartine, 2, ['Auberon Herbert', 'Herbert Spencer']
William Lyon Mackenzie King, 2, ['Auberon Herbert', 'Herbert Spencer']
Kaarlo Juho Ståhlberg, 2, ['Auberon Herbert', 'Herbert Spencer']
Alfred Deakin, 2, ['Auberon Herbert', 'Herbert Spencer']
Max Weber, 2, ['Auberon Herbert', 'Herbert Spencer']
Namık Kemal, 2, ['Auberon Herbert', 'Herbert Spencer']
Hu Shih, 2, ['Auberon Herbert', 'Herbert Spencer']
Lester B. Pearson, 2, ['Auberon Herbert', 'Herbert Spencer']
Bertil Ohlin, 2, ['Auberon Herbert', 'Herbert Spencer']
Karel Čapek, 2, ['Auberon Herbert', 'Herbert Spencer']
Lajos Kossuth, 2, ['Auberon Herbert', 'Herbert Spencer']
Bertrand de Jouvenel, 2, ['Auberon Herbert', 'Herbert Spencer']
Franklin Delano Roosevelt, 2, ['Auberon Herbert', 'Herbert Spencer']
Friedrich List, 2, ['Auberon Herbert', 'Herbert Spencer']
John Dalberg-Acton, 1st Baron Acton, 2, ['Auberon Herbert', 'Herbert Spencer']
Victor de Broglie (1785–1870), 2, ['Auberon Herbert', 'Herbert Spencer']
Vasil Levski, 2, ['Auberon Herbert', 'Herbert Spencer']
Dadabhai Naoroji, 2, ['Auberon Herbert', 'Herbert Spencer']
Karl Popper, 2, ['Auberon Herbert', 'Herbert Spencer']
José Ortega y Gasset, 2, ['Auberon Herbert', 'Herbert Spencer']
Itagaki Taisuke, 2, ['Auberon Herbert', 'Herbert Spencer']
François Guizot, 2, ['Auberon Herbert', 'Herbert Spencer']
Abraham Lincoln, 2, ['Auberon Herbert', 'Herbert Spencer']
John Maynard Keynes, 2, ['Auberon Herbert', 'Herbert Spencer']
Gopal Krishna Gokhale, 2, ['Auberon Herbert', 'Herbert Spencer']
Frédéric Bastiat, 2, ['Auberon Herbert', 'Herbert Spencer']
Walther Rathenau, 2, ['Auberon Herbert', 'Herbert Spencer']
