name,method,category,mentions,length,gender
John Abercrombie (physician),spacy,philosophy,18,6062,male
John Abercrombie (physician),wikidata,philosophy,4,6062,male
Robert Adamson (philosopher),spacy,philosophy,31,6347,male
Robert Adamson (philosopher),wikidata,philosophy,9,6347,male
Samuel Alexander,spacy,philosophy,34,14248,male
Samuel Alexander,wikidata,philosophy,16,14248,male
Archibald Alison (author),spacy,philosophy,11,1725,male
Archibald Alison (author),wikidata,philosophy,5,1725,male
John Austin (legal philosopher),spacy,philosophy,14,4234,male
John Austin (legal philosopher),wikidata,philosophy,5,4234,male
Samuel Bailey,spacy,philosophy,13,4690,male
Samuel Bailey,wikidata,philosophy,4,4690,male
Alfred Barratt,spacy,philosophy,10,2553,male
Alfred Barratt,wikidata,philosophy,4,2553,male
Jeremy Bentham,spacy,philosophy,81,34813,male
Jeremy Bentham,wikidata,philosophy,62,34813,male
George Boole,spacy,philosophy,16,4095,male
George Boole,wikidata,philosophy,25,4095,male
Mary Everest Boole,spacy,philosophy,24,6533,female
Mary Everest Boole,wikidata,philosophy,11,6533,female
Matthew Piers Watt Boulton,spacy,philosophy,132,32450,male
Matthew Piers Watt Boulton,wikidata,philosophy,28,32450,male
F. H. Bradley,spacy,philosophy,25,4881,male
F. H. Bradley,wikidata,philosophy,14,4881,male
Robert Buchanan (playwright),spacy,philosophy,10,1399,male
Robert Buchanan (playwright),wikidata,philosophy,3,1399,male
Alfred Caldecott,spacy,philosophy,17,2266,male
Alfred Caldecott,wikidata,philosophy,3,2266,male
Henry Calderwood,spacy,philosophy,13,2857,male
Henry Calderwood,wikidata,philosophy,4,2857,male
Thomas Carlyle,spacy,philosophy,100,33142,male
Thomas Carlyle,wikidata,philosophy,77,33142,male
William Kingdon Clifford,spacy,philosophy,53,17606,male
William Kingdon Clifford,wikidata,philosophy,20,17606,male
Ebenezer Cooke (art education reformer),spacy,philosophy,14,1734,male
Ebenezer Cooke (art education reformer),wikidata,philosophy,7,1734,male
Augustus De Morgan,spacy,philosophy,83,43528,male
Augustus De Morgan,wikidata,philosophy,34,43528,male
George Eliot,spacy,philosophy,92,20478,female
George Eliot,wikidata,philosophy,27,20478,female
James Frederick Ferrier,spacy,philosophy,21,6733,male
James Frederick Ferrier,wikidata,philosophy,6,6733,male
T. H. Green,spacy,philosophy,27,17189,male
T. H. Green,wikidata,philosophy,34,17189,male
Caroline Haddon,spacy,philosophy,8,1005,female
Caroline Haddon,wikidata,philosophy,2,1005,female
Auberon Herbert,spacy,philosophy,38,11887,male
Auberon Herbert,wikidata,philosophy,67,11887,male
John Hoppus,spacy,philosophy,36,7614,male
John Hoppus,wikidata,philosophy,16,7614,male
George Jardine,spacy,philosophy,22,4265,male
George Jardine,wikidata,philosophy,7,4265,male
William Stanley Jevons,spacy,philosophy,32,18854,male
William Stanley Jevons,wikidata,philosophy,15,18854,male
Constance Jones,spacy,philosophy,17,3587,female
Constance Jones,wikidata,philosophy,13,3587,female
Henry Jones (philosopher),spacy,philosophy,4,1064,male
Henry Jones (philosopher),wikidata,philosophy,2,1064,male
George Henry Lewes,spacy,philosophy,40,13694,male
George Henry Lewes,wikidata,philosophy,19,13694,male
Robert Lewins,spacy,philosophy,14,3153,male
Robert Lewins,wikidata,philosophy,3,3153,male
Harriet Martineau,spacy,philosophy,91,30946,female
Harriet Martineau,wikidata,philosophy,45,30946,female
James McCosh,spacy,philosophy,14,4956,male
James McCosh,wikidata,philosophy,6,4956,male
Harriet Taylor Mill,spacy,philosophy,23,8852,female
Harriet Taylor Mill,wikidata,philosophy,4,8852,female
James Mill,spacy,philosophy,37,11954,male
James Mill,wikidata,philosophy,29,11954,male
John Stuart Mill,spacy,philosophy,67,50693,male
John Stuart Mill,wikidata,philosophy,97,50693,male
Edmund Montgomery,spacy,philosophy,29,7726,male
Edmund Montgomery,wikidata,philosophy,7,7726,male
Aubrey Moore,spacy,philosophy,15,3522,female
Aubrey Moore,wikidata,philosophy,3,3522,female
G. E. Moore,spacy,philosophy,23,14959,male
G. E. Moore,wikidata,philosophy,15,14959,male
James Mylne,spacy,philosophy,10,1403,male
James Mylne,wikidata,philosophy,4,1403,male
James Allanson Picton,spacy,philosophy,19,3862,male
James Allanson Picton,wikidata,philosophy,3,3862,male
Joseph Priestley,spacy,philosophy,152,63194,male
Joseph Priestley,wikidata,philosophy,6,63194,male
John Ruskin,spacy,philosophy,326,92387,male
John Ruskin,wikidata,philosophy,133,92387,male
F. C. S. Schiller,spacy,philosophy,38,41275,male
F. C. S. Schiller,wikidata,philosophy,7,41275,male
Lady Mary Shepherd,spacy,philosophy,12,1440,female
Lady Mary Shepherd,wikidata,philosophy,5,1440,female
Richard Shute,spacy,philosophy,3,869,male
Richard Shute,wikidata,philosophy,1,869,male
Henry Sidgwick,spacy,philosophy,37,15114,male
Henry Sidgwick,wikidata,philosophy,15,15114,male
Herbert Spencer,spacy,philosophy,118,46998,male
Herbert Spencer,wikidata,philosophy,121,46998,male
Walking Stewart,spacy,philosophy,18,3122,male
Walking Stewart,wikidata,philosophy,8,3122,male
James Hutchison Stirling,spacy,philosophy,31,4868,male
James Hutchison Stirling,wikidata,philosophy,5,4868,male
George Johnston Allman,spacy,maths,9,1578,male
George Johnston Allman,wikidata,maths,1,1578,male
H. F. Baker,spacy,maths,15,1533,male
H. F. Baker,wikidata,maths,12,1533,male
W. H. Besant,spacy,maths,24,5338,male
W. H. Besant,wikidata,maths,7,5338,male
George Boole,spacy,maths,16,4095,male
George Boole,wikidata,maths,25,4095,male
Sophie Bryant,spacy,maths,11,3183,female
Sophie Bryant,wikidata,maths,1,3183,female
Oliver Byrne (mathematician),spacy,maths,21,4527,male
