Source,Target,weight,Type 
Mary Somerville,Ada Lovelace,Mary Somerville,Undirected,
Mary Somerville,Adam Duncan,Mary Somerville,Undirected,
Mary Somerville,Agnes Brown,Mary Somerville,Undirected,
Mary Somerville,Agnes McLaren,Mary Somerville,Undirected,
Mary Somerville,Agnes Syme Macdonald,Mary Somerville,Undirected,
Mary Somerville,Alexander Keith Johnston,Mary Somerville,Undirected,
Mary Somerville,Alexander Nasmyth,Mary Somerville,Undirected,
Mary Somerville,Alexander von Humboldt,Mary Somerville,Undirected,
Mary Somerville,Alexis Clairaut,Mary Somerville,Undirected,
Mary Somerville,Alice McLaren,Mary Somerville,Undirected,
Mary Somerville,Alice Stewart Ker,Mary Somerville,Undirected,
Mary Somerville,Amy Sanderson,Mary Somerville,Undirected,
Mary Somerville,Ann Macbeth,Mary Somerville,Undirected,
Mary Somerville,Anna Munro,Mary Somerville,Undirected,
Mary Somerville,Anne Isabella Byron,Mary Somerville,Undirected,
Mary Somerville,Annie S. Swan,Mary Somerville,Undirected,
Mary Somerville,Annot Robinson,Mary Somerville,Undirected,
Mary Somerville,Arabella Scott,Mary Somerville,Undirected,
Mary Somerville,Barbara Steel,Mary Somerville,Undirected,
Mary Somerville,Bessie Watson,Mary Somerville,Undirected,
Mary Somerville,Bodleian Library,Mary Somerville,Undirected,
Mary Somerville,Caroline Herschel,Mary Somerville,Undirected,
Mary Somerville,Caroline Phillips,Mary Somerville,Undirected,
Mary Somerville,Catherine Corbett,Mary Somerville,Undirected,
Mary Somerville,Catherine Helen Spence,Mary Somerville,Undirected,
Mary Somerville,Catherine Hogg Blair,Mary Somerville,Undirected,
Mary Somerville,Charles Babbage,Mary Somerville,Undirected,
Mary Somerville,Charles Darwin,Mary Somerville,Undirected,
Mary Somerville,Charles Lyell,Mary Somerville,Undirected,
Mary Somerville,Charles Scribner's,Mary Somerville,Undirected,
Mary Somerville,Charlotte Carmichael Stopes,Mary Somerville,Undirected,
Mary Somerville,Christina Jamieson,Mary Somerville,Undirected,
Mary Somerville,Curtsey,Mary Somerville,Undirected,
Mary Somerville,Daisy Solomon,Mary Somerville,Undirected,
Mary Somerville,David Brewster,Mary Somerville,Undirected,
Mary Somerville,Diane Atkinson,Mary Somerville,Undirected,
Mary Somerville,Dorothea Chalmers Smith,Mary Somerville,Undirected,
Mary Somerville,Earl,Mary Somerville,Undirected,
Mary Somerville,Edith Hudson,Mary Somerville,Undirected,
Mary Somerville,Edith Marian Begbie,Mary Somerville,Undirected,
Mary Somerville,Edmund F. Robertson,Mary Somerville,Undirected,
Mary Somerville,Edward Caird,Mary Somerville,Undirected,
Mary Somerville,Eliza Wigham,Mary Somerville,Undirected,
Mary Somerville,Elizabeth Finlayson Gauld,Mary Somerville,Undirected,
Mary Somerville,Elizabeth Margaret Pace,Mary Somerville,Undirected,
Mary Somerville,Elizabeth Oswald,Mary Somerville,Undirected,
Mary Somerville,Elizabeth Pease Nichol,Mary Somerville,Undirected,
Mary Somerville,Elizabeth,Mary Somerville,Undirected,
Mary Somerville,Ellison Scotland,Mary Somerville,Undirected,
Mary Somerville,Elsie Inglis,Mary Somerville,Undirected,
Mary Somerville,Rosaline Orme,Mary Somerville,Undirected,
Mary Somerville,English Cemetery,Mary Somerville,Undirected,
Mary Somerville,Etiquette,Mary Somerville,Undirected,
Mary Somerville,Fairleigh Dickinson Univ Press,Mary Somerville,Undirected,
Mary Somerville,Flora Drummond,Mary Somerville,Undirected,
Mary Somerville,Flora Masson,Mary Somerville,Undirected,
Mary Somerville,Flora Murray,Mary Somerville,Undirected,
Mary Somerville,Flora Stevenson,Mary Somerville,Undirected,
