Source,Target,weight,Type 
Mary Somerville,Mary Somerville,Mary Somerville,Undirected
Mary Somerville,Caroline Herschel,Mary Somerville,Undirected
Mary Somerville,Honorary Members,Mary Somerville,Undirected
Mary Somerville,John Stuart Mill,Mary Somerville,Undirected
Mary Somerville,Somerville,Mary Somerville,Undirected
Mary Somerville,William George Fairfax,Mary Somerville,Undirected
Mary Somerville,Fairfaxes,Mary Somerville,Undirected
Mary Somerville,Margaret Charters,Mary Somerville,Undirected
Mary Somerville,Samuel Charters,Mary Somerville,Undirected
Mary Somerville,Rev,Mary Somerville,Undirected
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected
Mary Somerville,Sam,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Somerville,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Somerville,Mary Somerville,Undirected
Mary Somerville,Shakespeare,Mary Somerville,Undirected
Mary Somerville,Janet,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected
Mary Somerville,Somerville,Mary Somerville,Undirected
Mary Somerville,Virgil,Mary Somerville,Undirected
Mary Somerville,William Charters,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Strange,Mary Somerville,Undirected
Mary Somerville,Lyell,Mary Somerville,Undirected
Mary Somerville,Charles Lyell,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Sam,Mary Somerville,Undirected
Mary Somerville,Somerville,Mary Somerville,Undirected
Mary Somerville,Xenophon,Mary Somerville,Undirected
Mary Somerville,Herodotus,Mary Somerville,Undirected
Mary Somerville,Alexander Nasmyth,Mary Somerville,Undirected
Mary Somerville,Nasmyth,Mary Somerville,Undirected
