Source,Target,weight,Type 
Mary Somerville,Mary Somerville,Mary Somerville,Undirected,
Mary Somerville,Greig,Mary Somerville,Undirected,
Mary Somerville,Caroline Herschel,Mary Somerville,Undirected,
Mary Somerville,Honorary Members,Mary Somerville,Undirected,
Mary Somerville,John Stuart Mill,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,William George Fairfax,Mary Somerville,Undirected,
Mary Somerville,Fairfaxes,Mary Somerville,Undirected,
Mary Somerville,Margaret Charters,Mary Somerville,Undirected,
Mary Somerville,Samuel Charters,Mary Somerville,Undirected,
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected,
Mary Somerville,Sam,Mary Somerville,Undirected,
Mary Somerville,Mary,Mary Somerville,Undirected,
Mary Somerville,Mary,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Shakespeare,Mary Somerville,Undirected,
Mary Somerville,Janet,Mary Somerville,Undirected,
Mary Somerville,Mary,Mary Somerville,Undirected,
Mary Somerville,Mary,Mary Somerville,Undirected,
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Virgil,Mary Somerville,Undirected,
Mary Somerville,William Charters,Mary Somerville,Undirected,
Mary Somerville,Mary,Mary Somerville,Undirected,
Mary Somerville,Lyell,Mary Somerville,Undirected,
Mary Somerville,Charles Lyell,Mary Somerville,Undirected,
Mary Somerville,Sam,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Alexander Nasmyth,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,John Robertson,Mary Somerville,Undirected,
Mary Somerville,Henry,Mary Somerville,Undirected,
Mary Somerville,John Bonnycastle,Mary Somerville,Undirected,
Mary Somerville,Balmuto,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Elizabeth Oswald,Mary Somerville,Undirected,
Mary Somerville,Thomas Bruce,Mary Somerville,Undirected,
Mary Somerville,Lady Burchan,Mary Somerville,Undirected,
Mary Somerville,Duncan,Mary Somerville,Undirected,
Mary Somerville,Samuel Greig,Mary Somerville,Undirected,
Mary Somerville,Samuel Greig,Mary Somerville,Undirected,
Mary Somerville,Woronzow Greig,Mary Somerville,Undirected,
Mary Somerville,Greig,Mary Somerville,Undirected,
Mary Somerville,James Ferguson,Mary Somerville,Undirected,
Mary Somerville,Isaac Newton's,Mary Somerville,Undirected,
Mary Somerville,Greig,Mary Somerville,Undirected,
Mary Somerville,John Playfair,Mary Somerville,Undirected,
Mary Somerville,William Wallace,Mary Somerville,Undirected,
Mary Somerville,Wallace,Mary Somerville,Undirected,
Mary Somerville,Pierre-Simon Laplace,Mary Somerville,Undirected,
Mary Somerville,Laplace,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Louis-Benjamin Francœur's,Mary Somerville,Undirected,
Mary Somerville,Sylvestre,Mary Somerville,Undirected,
Mary Somerville,François Lacroix,Mary Somerville,Undirected,
Mary Somerville,Calculus Treatise,Mary Somerville,Undirected,
Mary Somerville,Jean-Baptiste Biot's,Mary Somerville,Undirected,
Mary Somerville,Denis Poisson,Mary Somerville,Undirected,
Mary Somerville,Leonhard Euler's,Mary Somerville,Undirected,
Mary Somerville,Alexis Clairaut's,Mary Somerville,Undirected,
Mary Somerville,François Callet's Logarithmus,Mary Somerville,Undirected,
Mary Somerville,Charles Babbage,Mary Somerville,Undirected,
Mary Somerville,John Herschel,Mary Somerville,Undirected,
Mary Somerville,George Peacock,Mary Somerville,Undirected,
Mary Somerville,Lacroix,Mary Somerville,Undirected,
Mary Somerville,Henry Brougham,Mary Somerville,Undirected,
Mary Somerville,William Somerville,Mary Somerville,Undirected,
Mary Somerville,J.M.W. Turner,Mary Somerville,Undirected,
Mary Somerville,Walter Scott,Mary Somerville,Undirected,
Mary Somerville,Scott,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Anne Isabella Milbanke,Mary Somerville,Undirected,
Mary Somerville,Ada Lovelace,Mary Somerville,Undirected,
Mary Somerville,Charles Babbage,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Lovelace,Mary Somerville,Undirected,
Mary Somerville,Lovelace,Mary Somerville,Undirected,
Mary Somerville,James Mackintosh,Mary Somerville,Undirected,
Mary Somerville,Somervilles,Mary Somerville,Undirected,
Mary Somerville,Maria Edgeworth,Mary Somerville,Undirected,
Mary Somerville,David Brewster,Mary Somerville,Undirected,
Mary Somerville,Mary Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Brougham,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Laplace,Mary Somerville,Undirected,
Mary Somerville,Joanna Baillie,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,George Peacock,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somervilles,Mary Somerville,Undirected,
Mary Somerville,John Murray,Mary Somerville,Undirected,
Mary Somerville,Charles Darwin,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Maria Mitchell,Mary Somerville,Undirected,
Mary Somerville,Mary Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Lovelace,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,William Edward Parry,Mary Somerville,Undirected,
