Source,Target,weight,Type,link
Somerville,Mary Somerville,Somerville,Undirected,unlinked
Somerville,Caroline Herschel,Somerville,Undirected,linked
Somerville,John Stuart Mill,Somerville,Undirected,linked
Somerville,Thomas Phillips,Somerville,Undirected,linked
Somerville,William George Fairfax,Somerville,Undirected,linked
Somerville,Margaret Charters,Somerville,Undirected,unlinked
Somerville,Samuel Charters,Somerville,Undirected,unlinked
Somerville,Thomas Somerville,Somerville,Undirected,linked
Somerville,Sam,Somerville,Undirected,unlinked
Somerville,Mary,Somerville,Undirected,unlinked
Somerville,Shakespeare,Somerville,Undirected,unlinked
Somerville,Janet,Somerville,Undirected,unlinked
Somerville,Thomas Somerville,Somerville,Undirected,unlinked
Somerville,William Charters,Somerville,Undirected,unlinked
Somerville,Charles Lyell,Somerville,Undirected,linked
Somerville,Xenophon,Somerville,Undirected,linked
Somerville,Herodotus,Somerville,Undirected,linked
Somerville,Alexander Nasmyth,Somerville,Undirected,linked
Somerville,Euclid,Somerville,Undirected,unlinked
Somerville,John Robertson,Somerville,Undirected,linked
Somerville,Henry,Somerville,Undirected,unlinked
Somerville,Mr Craw,Somerville,Undirected,unlinked
Somerville,John Bonnycastle,Somerville,Undirected,unlinked
Somerville,Lord Balmuto,Somerville,Undirected,linked
Somerville,Elizabeth Oswald,Somerville,Undirected,linked
Somerville,Thomas Bruce,Somerville,Undirected,linked
Somerville,Lady Buchan,Somerville,Undirected,unlinked
Somerville,Earl of Minto,Somerville,Undirected,linked
Somerville,Admiral Duncan,Somerville,Undirected,linked
Somerville,Samuel Grieg,Somerville,Undirected,unlinked
Somerville,Samuel Grieg,Somerville,Undirected,linked
Somerville,Woronzow Greig,Somerville,Undirected,unlinked
Somerville,James Ferguson,Somerville,Undirected,linked
Somerville,Isaac Newton,Somerville,Undirected,linked
Somerville,John Playfair,Somerville,Undirected,linked
Somerville,William Wallace,Somerville,Undirected,linked
Somerville,Pierre-Simon Laplace,Somerville,Undirected,linked
Somerville,Louis-Benjamin Francoeur,Somerville,Undirected,linked
Somerville,Sylvestre François Lacroix,Somerville,Undirected,linked
Somerville,Jean-Baptiste Biot,Somerville,Undirected,linked
Somerville,Siméon Denis Poisson,Somerville,Undirected,linked
Somerville,Joseph-Louis Lagrange,Somerville,Undirected,linked
Somerville,Leonhard Euler,Somerville,Undirected,linked
Somerville,Alexis Clairaut,Somerville,Undirected,linked
Somerville,Gaspard Monge,Somerville,Undirected,linked
Somerville,François Callet,Somerville,Undirected,linked
Somerville,Charles Babbage,Somerville,Undirected,linked
Somerville,John Herschel,Somerville,Undirected,linked
Somerville,George Peacock,Somerville,Undirected,linked
Somerville,Henry Brougham,Somerville,Undirected,linked
Somerville,Letitia Elizabeth Landon,Somerville,Undirected,linked
Somerville,William Somerville,Somerville,Undirected,linked
Somerville,J.M.W. Turner,Somerville,Undirected,linked
Somerville,Walter Scott,Somerville,Undirected,linked
Somerville,Anne Isabella Milbanke,Somerville,Undirected,linked
Somerville,Baroness Wentworth,Somerville,Undirected,unlinked
Somerville,Babbage,Somerville,Undirected,unlinked
Somerville,Ada Lovelace,Somerville,Undirected,linked
Somerville,Lovelace,Somerville,Undirected,unlinked
Somerville,Sir James Mackintosh,Somerville,Undirected,linked
Somerville,Maria Edgeworth,Somerville,Undirected,linked
Somerville,David Brewster,Somerville,Undirected,linked
Somerville,Lord Brougham,Somerville,Undirected,linked
Somerville,Pierre-Simon Laplace,Somerville,Undirected,linked
Somerville,Laplace,Somerville,Undirected,unlinked
Somerville,Joanna Baillie,Somerville,Undirected,linked
Somerville,George Peacock,Somerville,Undirected,linked
Somerville,John Murray,Somerville,Undirected,linked
Somerville,Charles Darwin,Somerville,Undirected,linked
Somerville,Baron Humboldt,Somerville,Undirected,linked
Somerville,Humboldt,Somerville,Undirected,unlinked
Somerville,Maria Mitchell,Somerville,Undirected,linked
Somerville,William Edward Parry,Somerville,Undirected,linked
Somerville,E Bowell,Somerville,Undirected,unlinked
Somerville,James Clerk Maxwell,Somerville,Undirected,linked
Somerville,Thomas Telford,Somerville,Undirected,linked
Somerville,Semyon Vorontsov,Somerville,Undirected,linked
Somerville,Samuel Greig,Somerville,Undirected,unlinked
Somerville,Agnes Graham,Somerville,Undirected,unlinked
Somerville,Margaret Farquhar Somerville,Somerville,Undirected,unlinked
Somerville,Thomas Somerville,Somerville,Undirected,unlinked
Somerville,Martha Charters Somerville,Somerville,Undirected,unlinked
Somerville,Mary Charlotte Somerville,Somerville,Undirected,unlinked
