Source,Target,weight,Type 
John Herschel,Cape Town,John Herschel,Undirected
John Herschel,Double Stars,John Herschel,Undirected
John Herschel,James South,John Herschel,Undirected
John Herschel,Family,John Herschel,Undirected
John Herschel,Babbage,John Herschel,Undirected
John Herschel,Results,John Herschel,Undirected
John Herschel,George Peacock,John Herschel,Undirected
John Herschel,John,John Herschel,Undirected
John Herschel,Dione,John Herschel,Undirected
John Herschel,Sir John Franklin,John Herschel,Undirected
John Herschel,William Waterfield,John Herschel,Undirected
John Herschel,Margaret Brodie Stewart,John Herschel,Undirected
John Herschel,Mary Boole,John Herschel,Undirected
John Herschel,Africa,John Herschel,Undirected
John Herschel,Margaret,John Herschel,Undirected
John Herschel,Herschel,John Herschel,Undirected
John Herschel,Charles Babbage,John Herschel,Undirected
John Herschel,Uranus,John Herschel,Undirected
John Herschel,Alexander Hamilton-Gordon Isabella Herschel,John Herschel,Undirected
John Herschel,Sir William Herschel,John Herschel,Undirected
John Herschel,John Fiot Lee Pearse Maclear Matilda Rose Herschel,John Herschel,Undirected
John Herschel,Lyell,John Herschel,Undirected
John Herschel,Thomas Maclear,John Herschel,Undirected
John Herschel,Talbot,John Herschel,Undirected
John Herschel,Sir,John Herschel,Undirected
John Herschel,Dionysius Lardner,John Herschel,Undirected
John Herschel,William Willis.Herschel,John Herschel,Undirected
John Herschel,Death,John Herschel,Undirected
John Herschel,John Herschel FRS,John Herschel,Undirected
John Herschel,Mount Herschel Antarctica,John Herschel,Undirected
John Herschel,Francisca Herschel,John Herschel,Undirected
John Herschel,Anne Herschel,John Herschel,Undirected
John Herschel,Henry W Field,John Herschel,Undirected
John Herschel,Mimas,John Herschel,Undirected
John Herschel,George Everest,John Herschel,Undirected
John Herschel,Cambridge,John Herschel,Undirected
John Herschel,Charles Lyell,John Herschel,Undirected
John Herschel,Ariel,John Herschel,Undirected
John Herschel,John Frederick,John Herschel,Undirected
John Herschel,Charles Darwin,John Herschel,Undirected
John Herschel,Margaret Louisa Herschel,John Herschel,Undirected
John Herschel,Rhea,John Herschel,Undirected
John Herschel,Field Houses,John Herschel,Undirected
John Herschel,John Herschel,John Herschel,Undirected
John Herschel,Caroline Herschel,John Herschel,Undirected
John Herschel,Umbriel,John Herschel,Undirected
John Herschel,Sir Thomas Francis Wade,John Herschel,Undirected
John Herschel,Julia Herschel,John Herschel,Undirected
John Herschel,Herschel Island,John Herschel,Undirected
John Herschel,Oberon,John Herschel,Undirected
John Herschel,William Herschel,John Herschel,Undirected
John Herschel,Light,John Herschel,Undirected
John Herschel,Darwin,John Herschel,Undirected
John Herschel,School,John Herschel,Undirected
John Herschel,Mary Baldwin,John Herschel,Undirected
John Herschel,Sir William James Herschel,John Herschel,Undirected
John Herschel,Captain Robert FitzRoy,John Herschel,Undirected
John Herschel,Henry Collen,John Herschel,Undirected
John Herschel,Flora Herscheliana,John Herschel,Undirected
John Herschel,Caroline Emilia,John Herschel,Undirected
John Herschel,Table Mountain,John Herschel,Undirected
John Herschel,Iapetus,John Herschel,Undirected
John Herschel,Copley Medal,John Herschel,Undirected
John Herschel,Maria Sophia Herschel,John Herschel,Undirected
John Herschel,Alexander Stewart Herschel,John Herschel,Undirected
John Herschel,Enceladus,John Herschel,Undirected
John Herschel,Queen Victoria,John Herschel,Undirected
