Source,Target,weight,Type 
Mary Somerville,Engine,Mary Somerville,Undirected
Mary Somerville,Geography,Mary Somerville,Undirected
Mary Somerville,Newton,Mary Somerville,Undirected
Mary Somerville,Babbage,Mary Somerville,Undirected
Mary Somerville,William George Fairfax,Mary Somerville,Undirected
Mary Somerville,Maria Mitchell,Mary Somerville,Undirected
Mary Somerville,Isaac Newton,Mary Somerville,Undirected
Mary Somerville,Janet,Mary Somerville,Undirected
Mary Somerville,Sylvestre François Lacroix,Mary Somerville,Undirected
Mary Somerville,Anne Isabella Milbanke,Mary Somerville,Undirected
Mary Somerville,Lagrange,Mary Somerville,Undirected
Mary Somerville,William Somerville,Mary Somerville,Undirected
Mary Somerville,Woronzow,Mary Somerville,Undirected
Mary Somerville,William Wallace,Mary Somerville,Undirected
Mary Somerville,Calculus Treatise,Mary Somerville,Undirected
Mary Somerville,Physical Geography,Mary Somerville,Undirected
Mary Somerville,Marines,Mary Somerville,Undirected
Mary Somerville,Murray,Mary Somerville,Undirected
Mary Somerville,Chelsea Hospital,Mary Somerville,Undirected
Mary Somerville,John Herschel,Mary Somerville,Undirected
Mary Somerville,Nunavut,Mary Somerville,Undirected
Mary Somerville,Lady Burchan,Mary Somerville,Undirected
Mary Somerville,Baroness Wentworth,Mary Somerville,Undirected
Mary Somerville,Principia,Mary Somerville,Undirected
Mary Somerville,Humboldt,Mary Somerville,Undirected
Mary Somerville,Astronomy,Mary Somerville,Undirected
Mary Somerville,Sir James Mackintosh,Mary Somerville,Undirected
Mary Somerville,Crown,Mary Somerville,Undirected
Mary Somerville,Langrenus,Mary Somerville,Undirected
Mary Somerville,Physical,Mary Somerville,Undirected
Mary Somerville,Latin,Mary Somerville,Undirected
Mary Somerville,Lord Brougham,Mary Somerville,Undirected
Mary Somerville,Margaret Farquhar Somerville,Mary Somerville,Undirected
Mary Somerville,Lovelace,Mary Somerville,Undirected
Mary Somerville,Nasmyth,Mary Somerville,Undirected
Mary Somerville,Mécanique Céleste,Mary Somerville,Undirected
Mary Somerville,Ada,Mary Somerville,Undirected
Mary Somerville,Fairfax,Mary Somerville,Undirected
Mary Somerville,Charles Babbage,Mary Somerville,Undirected
Mary Somerville,Uranus,Mary Somerville,Undirected
Mary Somerville,Fife,Mary Somerville,Undirected
Mary Somerville,Earth,Mary Somerville,Undirected
Mary Somerville,Lord Balmuto,Mary Somerville,Undirected
Mary Somerville,Francœur,Mary Somerville,Undirected
Mary Somerville,John Murray,Mary Somerville,Undirected
Mary Somerville,Charles Lyell,Mary Somerville,Undirected
Mary Somerville,Euclid,Mary Somerville,Undirected
Mary Somerville,Count Semyon Vorontsov,Mary Somerville,Undirected
