Source,Target,weight,Type 
Michael Faraday,Michael Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Bunsen,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,James Clerk Maxwell,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Maxwell,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Albert Einstein,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Arthur Schopenhauer,Michael Faraday,Undirected
Michael Faraday,James Clerk Maxwell,Michael Faraday,Undirected
Michael Faraday,Ernest Rutherford,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Michael Faraday,Michael Faraday,Undirected
Michael Faraday,James,Michael Faraday,Undirected
Michael Faraday,Glasite,Michael Faraday,Undirected
Michael Faraday,James Faraday,Michael Faraday,Undirected
Michael Faraday,Outhgill,Michael Faraday,Undirected
Michael Faraday,Michael Faraday,Michael Faraday,Undirected
Michael Faraday,George Riebau,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Isaac Watts,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Jane Marcet,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Humphry Davy,Michael Faraday,Undirected
Michael Faraday,John Tatum,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,William Dance,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Davy,Michael Faraday,Undirected
Michael Faraday,Davy,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Coincidentally,Michael Faraday,Undirected
Michael Faraday,John Payne,Michael Faraday,Undirected
Michael Faraday,Humphry Davy,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Chemical Assistant,Michael Faraday,Undirected
Michael Faraday,Davy,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Sarah Barnard,Michael Faraday,Undirected
Michael Faraday,Sandemanian,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Barnsbury Grove,Michael Faraday,Undirected
